year,total_new_cancer_cases,crc_cases,crc_pct_of_total,total_cancer_deaths,crc_deaths,crc_death_pct,source
2000,1220100,130200,10.7,552200,56300,10.2,ACS Cancer Facts & Figures
2005,1372910,145290,10.6,570280,56290,9.9,ACS Cancer Facts & Figures
2010,1529560,142570,9.3,569490,51370,9.0,ACS Cancer Facts & Figures
2012,1638910,143460,8.8,577190,51690,9.0,ACS Cancer Facts & Figures
2014,1665540,136830,8.2,585720,50310,8.6,ACS Cancer Facts & Figures
2015,1658370,132700,8.0,589430,49700,8.4,ACS Cancer Facts & Figures
2016,1685210,134490,8.0,595690,49190,8.3,ACS Cancer Facts & Figures
2017,1688780,135430,8.0,600920,50260,8.4,ACS Cancer Facts & Figures
2018,1735350,140250,8.1,609640,50630,8.3,ACS Cancer Facts & Figures
2019,1762450,145600,8.3,606880,51020,8.4,ACS Cancer Facts & Figures
2020,1806590,147950,8.2,606520,53200,8.8,ACS Cancer Facts & Figures
2021,1898160,149500,7.9,608570,52980,8.7,ACS Cancer Facts & Figures
2022,1918030,151030,7.9,609360,52580,8.6,ACS Cancer Facts & Figures
2023,1958310,153020,7.8,609820,52550,8.6,ACS Cancer Facts & Figures 2023
2024,2001140,152810,7.6,611720,53010,8.7,ACS Cancer Facts & Figures 2024
