year,cancer_type,sex,value
2015,bronchus,Male,80
2015,bronchus,Female,60
2015,rectum,Male,40
2015,rectum,Female,20
2015,Leukemia,Male,0
2015,Leukemia,Female,1930
2016,bronchus,Male,80
2016,bronchus,Female,60
2016,rectum,Male,40
2016,rectum,Female,20
2016,Leukemia,Male,0
2016,Leukemia,Female,1930
2017,bronchus,Male,80
2017,bronchus,Female,60
2017,rectum,Male,40
2017,rectum,Female,20
2017,Leukemia,Male,0
2017,Leukemia,Female,1930
2018,cancers in the United States are diagnosed in people,Male,50
2018,cancers in the United States are diagnosed in people,Female,2
2018,bronchus,Male,80
2018,bronchus,Female,60
2018,rectum,Male,40
2018,rectum,Female,20
2019,bronchus,Male,80
2019,bronchus,Female,60
2019,rectum,Male,40
2019,rectum,Female,20
2019,Leukemia,Male,0
2019,Leukemia,Female,1930
2020,bronchus,Male,80
2020,bronchus,Female,60
2020,rectum,Male,40
2020,rectum,Female,20
2020,Leukemia,Male,0
2020,Leukemia,Female,1930
2021,bronchus,Male,80
2021,bronchus,Female,60
2021,rectum,Male,40
2021,rectum,Female,20
2021,Leukemia,Male,0
2021,Leukemia,Female,1930
2022,bronchus,Male,80
2022,bronchus,Female,60
2022,rectum,Male,40
2022,rectum,Female,20
2022,Leukemia,Male,0
2022,Leukemia,Female,1930
2023,bronchus,Male,80
2023,bronchus,Female,60
2023,rectum,Male,40
2023,rectum,Female,20
2023,Leukemia,Male,0
2023,Leukemia,Female,1930
2024,bronchus,Male,80
2024,bronchus,Female,60
2024,rectum,Male,40
2024,rectum,Female,20
2024,Leukemia,Male,0
2024,Leukemia,Female,1930
