year,geography_level,state,cancer_type,sex,metric,value
2015,state,Alabama,colon_rectum,All,cases,2150
2015,state,Alabama,colon_rectum,All,deaths,930
2015,state,Alaska,colon_rectum,All,cases,290
2015,state,Alaska,colon_rectum,All,deaths,90
2015,state,Arizona,colon_rectum,All,cases,2440
2015,state,Arizona,colon_rectum,All,deaths,990
2015,state,Arkansas,colon_rectum,All,cases,1420
2015,state,Arkansas,colon_rectum,All,deaths,620
2015,state,California,colon_rectum,All,cases,14510
2015,state,California,colon_rectum,All,deaths,5180
2015,state,Colorado,colon_rectum,All,cases,1800
2015,state,Colorado,colon_rectum,All,deaths,650
2015,state,Connecticut,colon_rectum,All,cases,1580
2015,state,Connecticut,colon_rectum,All,deaths,440
2015,state,Delaware,colon_rectum,All,cases,400
2015,state,Delaware,colon_rectum,All,deaths,150
2015,state,District of Columbia,colon_rectum,All,cases,230
2015,state,District of Columbia,colon_rectum,All,deaths,100
2015,state,Florida,colon_rectum,All,cases,9330
2015,state,Florida,colon_rectum,All,deaths,3520
2015,state,Georgia,colon_rectum,All,cases,3820
2015,state,Georgia,colon_rectum,All,deaths,1500
2015,state,Hawaii,colon_rectum,All,cases,720
2015,state,Hawaii,colon_rectum,All,deaths,230
2015,state,Idaho,colon_rectum,All,cases,620
2015,state,Idaho,colon_rectum,All,deaths,220
2015,state,Illinois,colon_rectum,All,cases,5720
2015,state,Illinois,colon_rectum,All,deaths,2090
2015,state,Indiana,colon_rectum,All,cases,2890
2015,state,Indiana,colon_rectum,All,deaths,1080
2015,state,Iowa,colon_rectum,All,cases,1490
2015,state,Iowa,colon_rectum,All,deaths,570
2015,state,Kansas,colon_rectum,All,cases,1080
2015,state,Kansas,colon_rectum,All,deaths,480
2015,state,Kentucky,colon_rectum,All,cases,2090
2015,state,Kentucky,colon_rectum,All,deaths,850
2015,state,Louisiana,colon_rectum,All,cases,2150
2015,state,Louisiana,colon_rectum,All,deaths,810
2015,state,Maine,colon_rectum,All,cases,610
2015,state,Maine,colon_rectum,All,deaths,240
2015,state,Maryland,colon_rectum,All,cases,2360
2015,state,Maryland,colon_rectum,All,deaths,860
2015,state,Massachusetts,colon_rectum,All,cases,2550
2015,state,Massachusetts,colon_rectum,All,deaths,930
2015,state,Michigan,colon_rectum,All,cases,4190
2015,state,Michigan,colon_rectum,All,deaths,1670
2015,state,Minnesota,colon_rectum,All,cases,2140
2015,state,Minnesota,colon_rectum,All,deaths,760
2015,state,Mississippi,colon_rectum,All,cases,1460
2015,state,Mississippi,colon_rectum,All,deaths,640
2015,state,Missouri,colon_rectum,All,cases,2840
2015,state,Missouri,colon_rectum,All,deaths,1050
2015,state,Montana,colon_rectum,All,cases,500
2015,state,Montana,colon_rectum,All,deaths,170
2015,state,Nebraska,colon_rectum,All,cases,850
2015,state,Nebraska,colon_rectum,All,deaths,340
2015,state,Nevada,colon_rectum,All,cases,1110
2015,state,Nevada,colon_rectum,All,deaths,470
2015,state,New Hampshire,colon_rectum,All,cases,540
2015,state,New Hampshire,colon_rectum,All,deaths,200
2015,state,New Jersey,colon_rectum,All,cases,4260
2015,state,New Jersey,colon_rectum,All,deaths,1480
2015,state,New Mexico,colon_rectum,All,cases,820
2015,state,New Mexico,colon_rectum,All,deaths,350
2015,state,New York,colon_rectum,All,cases,8010
2015,state,New York,colon_rectum,All,deaths,2890
2015,state,North Carolina,colon_rectum,All,cases,3980
2015,state,North Carolina,colon_rectum,All,deaths,1490
2015,state,North Dakota,colon_rectum,All,cases,350
2015,state,North Dakota,colon_rectum,All,deaths,130
2015,state,Ohio,colon_rectum,All,cases,5430
2015,state,Ohio,colon_rectum,All,deaths,2090
2015,state,Oklahoma,colon_rectum,All,cases,1690
2015,state,Oklahoma,colon_rectum,All,deaths,680
2015,state,Oregon,colon_rectum,All,cases,1510
2015,state,Oregon,colon_rectum,All,deaths,670
2015,state,Pennsylvania,colon_rectum,All,cases,6300
2015,state,Pennsylvania,colon_rectum,All,deaths,2400
2015,state,Rhode Island,colon_rectum,All,cases,470
2015,state,Rhode Island,colon_rectum,All,deaths,160
2015,state,South Carolina,colon_rectum,All,cases,2130
2015,state,South Carolina,colon_rectum,All,deaths,840
2015,state,South Dakota,colon_rectum,All,cases,360
2015,state,South Dakota,colon_rectum,All,deaths,140
2015,state,Tennessee,colon_rectum,All,cases,3060
2015,state,Tennessee,colon_rectum,All,deaths,1220
2015,state,Texas,colon_rectum,All,cases,10050
2015,state,Texas,colon_rectum,All,deaths,3470
2015,state,US,colon_rectum,All,cases,132700
2015,state,US,colon_rectum,All,deaths,49700
2015,state,Utah,colon_rectum,All,cases,670
2015,state,Utah,colon_rectum,All,deaths,240
2015,state,Vermont,colon_rectum,All,cases,280
2015,state,Vermont,colon_rectum,All,deaths,100
2015,state,Virginia,colon_rectum,All,cases,2970
2015,state,Virginia,colon_rectum,All,deaths,1180
2015,state,Washington,colon_rectum,All,cases,2700
2015,state,Washington,colon_rectum,All,deaths,990
2015,state,West Virginia,colon_rectum,All,cases,1080
2015,state,West Virginia,colon_rectum,All,deaths,410
2015,state,Wisconsin,colon_rectum,All,cases,2460
2015,state,Wisconsin,colon_rectum,All,deaths,850
2015,state,Wyoming,colon_rectum,All,cases,230
2015,state,Wyoming,colon_rectum,All,deaths,80
2016,state,Alabama,colon_rectum,All,cases,2190
2016,state,Alabama,colon_rectum,All,deaths,920
2016,state,Alaska,colon_rectum,All,cases,270
2016,state,Alaska,colon_rectum,All,deaths,90
2016,state,Arizona,colon_rectum,All,cases,2550
2016,state,Arizona,colon_rectum,All,deaths,980
2016,state,Arkansas,colon_rectum,All,cases,1410
2016,state,Arkansas,colon_rectum,All,deaths,600
2016,state,California,colon_rectum,All,cases,13770
2016,state,California,colon_rectum,All,deaths,5180
2016,state,Colorado,colon_rectum,All,cases,1790
2016,state,Colorado,colon_rectum,All,deaths,650
2016,state,Connecticut,colon_rectum,All,cases,1610
2016,state,Connecticut,colon_rectum,All,deaths,450
2016,state,Delaware,colon_rectum,All,cases,430
2016,state,Delaware,colon_rectum,All,deaths,150
2016,state,District of Columbia,colon_rectum,All,cases,200
2016,state,District of Columbia,colon_rectum,All,deaths,90
2016,state,Florida,colon_rectum,All,cases,9710
2016,state,Florida,colon_rectum,All,deaths,3500
2016,state,Georgia,colon_rectum,All,cases,3980
2016,state,Georgia,colon_rectum,All,deaths,1500
2016,state,Hawaii,colon_rectum,All,cases,650
2016,state,Hawaii,colon_rectum,All,deaths,230
2016,state,Idaho,colon_rectum,All,cases,610
2016,state,Idaho,colon_rectum,All,deaths,220
2016,state,Illinois,colon_rectum,All,cases,5580
2016,state,Illinois,colon_rectum,All,deaths,2030
2016,state,Indiana,colon_rectum,All,cases,2980
2016,state,Indiana,colon_rectum,All,deaths,1070
2016,state,Iowa,colon_rectum,All,cases,1500
2016,state,Iowa,colon_rectum,All,deaths,570
2016,state,Kansas,colon_rectum,All,cases,1150
2016,state,Kansas,colon_rectum,All,deaths,460
2016,state,Kentucky,colon_rectum,All,cases,2200
2016,state,Kentucky,colon_rectum,All,deaths,830
2016,state,Louisiana,colon_rectum,All,cases,2170
2016,state,Louisiana,colon_rectum,All,deaths,790
2016,state,Maine,colon_rectum,All,cases,720
2016,state,Maine,colon_rectum,All,deaths,230
2016,state,Maryland,colon_rectum,All,cases,2390
2016,state,Maryland,colon_rectum,All,deaths,850
2016,state,Massachusetts,colon_rectum,All,cases,2750
2016,state,Massachusetts,colon_rectum,All,deaths,890
2016,state,Michigan,colon_rectum,All,cases,4570
2016,state,Michigan,colon_rectum,All,deaths,1640
2016,state,Minnesota,colon_rectum,All,cases,2180
2016,state,Minnesota,colon_rectum,All,deaths,750
2016,state,Mississippi,colon_rectum,All,cases,1530
2016,state,Mississippi,colon_rectum,All,deaths,630
2016,state,Missouri,colon_rectum,All,cases,2850
2016,state,Missouri,colon_rectum,All,deaths,1050
2016,state,Montana,colon_rectum,All,cases,460
2016,state,Montana,colon_rectum,All,deaths,170
2016,state,Nebraska,colon_rectum,All,cases,850
2016,state,Nebraska,colon_rectum,All,deaths,330
2016,state,Nevada,colon_rectum,All,cases,1140
2016,state,Nevada,colon_rectum,All,deaths,480
2016,state,New Hampshire,colon_rectum,All,cases,620
2016,state,New Hampshire,colon_rectum,All,deaths,190
2016,state,New Jersey,colon_rectum,All,cases,4020
2016,state,New Jersey,colon_rectum,All,deaths,1450
2016,state,New Mexico,colon_rectum,All,cases,760
2016,state,New Mexico,colon_rectum,All,deaths,350
2016,state,New York,colon_rectum,All,cases,8730
2016,state,New York,colon_rectum,All,deaths,2830
2016,state,North Carolina,colon_rectum,All,cases,4280
2016,state,North Carolina,colon_rectum,All,deaths,1480
2016,state,North Dakota,colon_rectum,All,cases,310
2016,state,North Dakota,colon_rectum,All,deaths,120
2016,state,Ohio,colon_rectum,All,cases,5340
2016,state,Ohio,colon_rectum,All,deaths,2060
2016,state,Oklahoma,colon_rectum,All,cases,1630
2016,state,Oklahoma,colon_rectum,All,deaths,690
2016,state,Oregon,colon_rectum,All,cases,1610
2016,state,Oregon,colon_rectum,All,deaths,660
2016,state,Pennsylvania,colon_rectum,All,cases,6390
2016,state,Pennsylvania,colon_rectum,All,deaths,2340
2016,state,Rhode Island,colon_rectum,All,cases,490
2016,state,Rhode Island,colon_rectum,All,deaths,160
2016,state,South Carolina,colon_rectum,All,cases,2220
2016,state,South Carolina,colon_rectum,All,deaths,830
2016,state,South Dakota,colon_rectum,All,cases,390
2016,state,South Dakota,colon_rectum,All,deaths,130
2016,state,Tennessee,colon_rectum,All,cases,3130
2016,state,Tennessee,colon_rectum,All,deaths,1230
2016,state,Texas,colon_rectum,All,cases,9680
2016,state,Texas,colon_rectum,All,deaths,3520
2016,state,US,colon_rectum,All,cases,134490
2016,state,US,colon_rectum,All,deaths,49190
2016,state,Utah,colon_rectum,All,cases,720
2016,state,Utah,colon_rectum,All,deaths,240
2016,state,Vermont,colon_rectum,All,cases,280
2016,state,Vermont,colon_rectum,All,deaths,100
2016,state,Virginia,colon_rectum,All,cases,3240
2016,state,Virginia,colon_rectum,All,deaths,1160
2016,state,Washington,colon_rectum,All,cases,2700
2016,state,Washington,colon_rectum,All,deaths,970
2016,state,West Virginia,colon_rectum,All,cases,1010
2016,state,West Virginia,colon_rectum,All,deaths,400
2016,state,Wisconsin,colon_rectum,All,cases,2520
2016,state,Wisconsin,colon_rectum,All,deaths,840
2016,state,Wyoming,colon_rectum,All,cases,220
2016,state,Wyoming,colon_rectum,All,deaths,90
2017,state,Alabama,colon_rectum,All,cases,2210
2017,state,Alabama,colon_rectum,All,deaths,940
2017,state,Alaska,colon_rectum,All,cases,280
2017,state,Alaska,colon_rectum,All,deaths,100
2017,state,Arizona,colon_rectum,All,cases,2630
2017,state,Arizona,colon_rectum,All,deaths,1020
2017,state,Arkansas,colon_rectum,All,cases,1390
2017,state,Arkansas,colon_rectum,All,deaths,600
2017,state,California,colon_rectum,All,cases,13890
2017,state,California,colon_rectum,All,deaths,5240
2017,state,Colorado,colon_rectum,All,cases,1770
2017,state,Colorado,colon_rectum,All,deaths,660
2017,state,Connecticut,colon_rectum,All,cases,1600
2017,state,Connecticut,colon_rectum,All,deaths,450
2017,state,Delaware,colon_rectum,All,cases,440
2017,state,Delaware,colon_rectum,All,deaths,150
2017,state,District of Columbia,colon_rectum,All,cases,210
2017,state,District of Columbia,colon_rectum,All,deaths,90
2017,state,Florida,colon_rectum,All,cases,9930
2017,state,Florida,colon_rectum,All,deaths,3620
2017,state,Georgia,colon_rectum,All,cases,4040
2017,state,Georgia,colon_rectum,All,deaths,1540
2017,state,Hawaii,colon_rectum,All,cases,660
