year,age_group,share_of_crc_pct,source
1995,Under 55,11,ACS Cancer Statistics
1995,Over 55,89,ACS Cancer Statistics
2000,Under 55,12,ACS Cancer Statistics
2000,Over 55,88,ACS Cancer Statistics
2005,Under 55,14,ACS Cancer Statistics
2005,Over 55,86,ACS Cancer Statistics
2010,Under 55,15,ACS Cancer Statistics
2010,Over 55,85,ACS Cancer Statistics
2015,Under 55,17,ACS Cancer Statistics
2015,Over 55,83,ACS Cancer Statistics
2019,Under 55,20,ACS Special Report 2023
2019,Over 55,80,ACS Special Report 2023
2023,Under 55,21,ACS Cancer Statistics 2023
2023,Over 55,79,ACS Cancer Statistics 2023
2025,Under 55,22,ACS Cancer Facts 2025
2025,Over 55,78,ACS Cancer Facts 2025
