country,region,edition_year,incidence_asr_per_100k,mortality_asr_per_100k,source
Hungary,Europe,2012,51.2,23.5,IARC GLOBOCAN 2012
Hungary,Europe,2018,47.3,20.7,IARC GLOBOCAN 2018
Hungary,Europe,2022,41.1,18.7,IARC GLOBOCAN 2022
Slovakia,Europe,2012,47.8,21.0,IARC GLOBOCAN 2012
Slovakia,Europe,2018,43.2,19.1,IARC GLOBOCAN 2018
Slovakia,Europe,2022,39.3,17.5,IARC GLOBOCAN 2022
Norway,Europe,2012,39.2,12.7,IARC GLOBOCAN 2012
Norway,Europe,2018,41.9,11.5,IARC GLOBOCAN 2018
Norway,Europe,2022,38.5,11.0,IARC GLOBOCAN 2022
Netherlands,Europe,2012,41.9,13.6,IARC GLOBOCAN 2012
Netherlands,Europe,2018,41.0,12.4,IARC GLOBOCAN 2018
Netherlands,Europe,2022,37.5,11.7,IARC GLOBOCAN 2022
Denmark,Europe,2012,41.2,14.2,IARC GLOBOCAN 2012
Denmark,Europe,2018,40.5,13.1,IARC GLOBOCAN 2018
Denmark,Europe,2022,36.9,12.1,IARC GLOBOCAN 2022
South Korea,Asia,2012,45.0,9.0,IARC GLOBOCAN 2012
South Korea,Asia,2018,44.5,8.8,IARC GLOBOCAN 2018
South Korea,Asia,2022,33.7,8.6,IARC GLOBOCAN 2022
Japan,Asia,2012,32.2,12.3,IARC GLOBOCAN 2012
Japan,Asia,2018,38.5,12.0,IARC GLOBOCAN 2018
Japan,Asia,2022,32.7,11.5,IARC GLOBOCAN 2022
Australia,Oceania,2012,38.4,10.0,IARC GLOBOCAN 2012
Australia,Oceania,2018,38.6,9.8,IARC GLOBOCAN 2018
Australia,Oceania,2022,34.8,9.1,IARC GLOBOCAN 2022
New Zealand,Oceania,2012,37.3,11.8,IARC GLOBOCAN 2012
New Zealand,Oceania,2018,35.7,11.5,IARC GLOBOCAN 2018
New Zealand,Oceania,2022,34.1,11.2,IARC GLOBOCAN 2022
USA,Americas,2012,30.1,11.5,IARC GLOBOCAN 2012
USA,Americas,2018,25.6,9.0,IARC GLOBOCAN 2018
USA,Americas,2022,26.6,8.5,IARC GLOBOCAN 2022
Canada,Americas,2012,35.2,11.0,IARC GLOBOCAN 2012
Canada,Americas,2018,32.1,9.7,IARC GLOBOCAN 2018
Canada,Americas,2022,29.7,9.3,IARC GLOBOCAN 2022
UK,Europe,2012,27.0,11.0,IARC GLOBOCAN 2012
UK,Europe,2018,26.6,9.5,IARC GLOBOCAN 2018
UK,Europe,2022,25.8,9.2,IARC GLOBOCAN 2022
Germany,Europe,2012,32.0,11.6,IARC GLOBOCAN 2012
Germany,Europe,2018,31.4,10.7,IARC GLOBOCAN 2018
Germany,Europe,2022,29.9,10.3,IARC GLOBOCAN 2022
France,Europe,2012,28.8,11.0,IARC GLOBOCAN 2012
France,Europe,2018,30.3,10.4,IARC GLOBOCAN 2018
France,Europe,2022,29.5,9.9,IARC GLOBOCAN 2022
Italy,Europe,2012,32.0,11.0,IARC GLOBOCAN 2012
Italy,Europe,2018,32.3,10.0,IARC GLOBOCAN 2018
Italy,Europe,2022,30.6,9.6,IARC GLOBOCAN 2022
China,Asia,2012,14.2,7.0,IARC GLOBOCAN 2012
China,Asia,2018,17.7,8.5,IARC GLOBOCAN 2018
China,Asia,2022,23.9,11.2,IARC GLOBOCAN 2022
Brazil,Americas,2012,16.6,7.6,IARC GLOBOCAN 2012
Brazil,Americas,2018,17.8,8.0,IARC GLOBOCAN 2018
Brazil,Americas,2022,18.4,8.4,IARC GLOBOCAN 2022
India,Asia,2012,4.5,2.7,IARC GLOBOCAN 2012
India,Asia,2018,5.0,3.0,IARC GLOBOCAN 2018
India,Asia,2022,5.8,3.4,IARC GLOBOCAN 2022
South Africa,Africa,2012,12.0,6.8,IARC GLOBOCAN 2012
South Africa,Africa,2018,12.9,7.2,IARC GLOBOCAN 2018
South Africa,Africa,2022,13.7,7.7,IARC GLOBOCAN 2022
Nigeria,Africa,2012,3.5,2.3,IARC GLOBOCAN 2012
Nigeria,Africa,2018,4.0,2.5,IARC GLOBOCAN 2018
Nigeria,Africa,2022,4.4,2.7,IARC GLOBOCAN 2022
