state,population,crc_rate_total,crc_rate_female_18_44,crc_rate_male_18_44,crc_rate_female_45_64,crc_rate_male_45_64,crc_rate_female_65plus,crc_rate_male_65plus,crc_rate_white,crc_rate_black,crc_rate_asian,crc_rate_indigenous,crc_rate_hispanic,crc_rate_early_onset,crc_rate_traditional,disparity_ratio_black_white
Alabama,33387205.0,19.4,1.6,2.3,18.0,28.7,78.4,106.0,15.9,24.4,0.0,0.0,5.7,1.95,57.775000000000006,1.5345911949685533
Alaska,4966180.0,11.9,0.0,0.0,15.3,17.6,71.7,102.3,13.6,0.0,12.5,34.7,0.0,0.0,51.725,0.0
Arizona,44845598.0,14.9,1.3,1.4,12.6,19.2,67.6,85.2,13.8,18.7,10.6,10.1,13.1,1.35,46.15,1.3550724637681157
Arkansas,20382448.0,21.2,1.9,2.2,19.7,28.6,85.8,114.4,17.7,26.3,0.0,0.0,8.1,2.05,62.125,1.4858757062146895
California,261135696.0,14.0,1.2,1.4,13.4,17.9,75.3,93.3,14.4,21.2,11.6,7.7,11.7,1.2999999999999998,49.974999999999994,1.472222222222222
Colorado,35267734.0,12.7,1.0,1.1,11.6,15.7,73.5,83.3,13.4,17.2,10.7,7.6,14.8,1.05,46.025,1.2835820895522387
Connecticut,24975889.0,15.6,1.2,1.5,10.5,15.6,76.9,85.3,12.8,15.5,6.6,0.0,10.2,1.35,47.075,1.2109375
Delaware,6295263.0,17.6,0.0,1.8,13.0,23.1,77.1,93.8,15.4,16.9,0.0,0.0,0.0,0.9,51.75,1.0974025974025974
District of Columbia,4245359.0,17.5,0.0,0.0,21.9,25.3,98.9,102.1,10.0,23.0,0.0,0.0,9.1,0.0,62.050000000000004,2.3
Florida,132277071.0,19.6,1.4,1.8,15.1,22.7,71.0,91.6,14.3,18.5,9.2,5.6,13.4,1.6,50.099999999999994,1.2937062937062938
Georgia,67890652.0,14.6,1.5,1.9,16.3,24.2,71.4,96.0,14.5,21.1,9.7,0.0,6.0,1.7,51.975,1.4551724137931035
Hawaii,9526083.0,16.5,1.6,1.7,14.6,23.9,60.0,92.2,12.6,0.0,14.5,0.0,18.0,1.65,47.675,0.0
Idaho,10954295.0,14.3,1.4,1.5,13.3,18.2,71.1,86.6,14.0,0.0,0.0,17.4,9.4,1.45,47.3,0.0
Illinois,89696961.0,18.1,1.4,1.7,14.9,21.3,91.6,114.1,16.2,24.8,10.1,0.0,10.0,1.5499999999999998,60.474999999999994,1.5308641975308643
Indiana,45372690.0,18.2,1.2,1.6,14.7,23.2,88.6,109.4,16.6,22.6,7.8,0.0,9.4,1.4,58.975,1.3614457831325302
Iowa,21322082.0,20.9,1.5,1.7,14.5,20.6,99.0,112.2,16.7,23.2,0.0,0.0,10.2,1.6,61.575,1.3892215568862276
Kansas,19928783.0,17.7,1.2,1.9,13.3,22.4,86.8,103.6,15.6,24.1,10.1,28.4,12.0,1.5499999999999998,56.525,1.544871794871795
Kentucky,30348057.0,20.2,1.5,2.1,19.0,26.3,89.5,113.9,18.3,23.6,14.9,0.0,6.9,1.8,62.175000000000004,1.289617486338798
Louisiana,31638386.0,19.4,1.7,2.3,19.5,29.6,85.1,115.8,16.9,24.7,7.0,0.0,8.4,2.0,62.5,1.4615384615384617
Maine,9301182.0,19.9,1.6,1.7,13.5,18.1,82.1,100.7,15.4,0.0,0.0,0.0,0.0,1.65,53.599999999999994,0.0
Maryland,40483979.0,16.5,1.4,1.5,14.4,21.3,78.4,103.4,14.3,21.0,10.2,0.0,6.8,1.45,54.375,1.4685314685314685
Massachusetts,45892272.0,17.0,1.0,1.4,11.7,16.1,85.3,100.0,14.6,14.6,10.3,0.0,11.5,1.2,53.275,1.0
Michigan,69388573.0,18.0,1.4,1.9,14.7,20.0,82.4,102.2,15.0,22.1,9.3,17.5,13.1,1.65,54.825,1.4733333333333334
Minnesota,37183729.0,15.6,1.1,1.5,11.8,17.2,80.8,93.4,14.1,12.2,10.5,25.0,7.9,1.3,50.8,0.8652482269503545
Mississippi,20756872.0,20.9,1.8,3.0,21.9,34.1,88.8,113.3,17.3,26.4,0.0,0.0,0.0,2.4,64.525,1.5260115606936415
Missouri,41838390.0,19.4,1.6,1.9,14.5,23.8,87.0,109.0,16.6,22.7,13.6,0.0,9.0,1.75,58.575,1.3674698795180722
Montana,6933023.0,17.2,0.0,0.0,14.4,18.3,75.3,88.5,13.6,0.0,0.0,24.7,0.0,0.0,49.125,0.0
Nebraska,12785524.0,19.2,0.0,1.2,13.8,21.7,99.8,111.4,16.7,26.7,0.0,0.0,7.1,0.6,61.675000000000004,1.598802395209581
Nevada,18912307.0,16.7,1.2,1.7,15.5,22.5,80.6,106.2,17.7,21.4,11.4,0.0,11.5,1.45,56.2,1.2090395480225988
New Hampshire,9223389.0,16.5,1.5,1.6,11.7,14.5,83.6,90.3,14.5,0.0,0.0,0.0,0.0,1.55,50.025,0.0
New Jersey,61521555.0,18.8,1.3,1.5,13.7,19.5,92.4,113.4,16.4,21.3,8.0,0.0,11.0,1.4,59.75,1.2987804878048783
New Mexico,14349762.0,16.2,1.3,1.8,12.8,21.1,73.1,95.4,15.1,20.5,0.0,13.7,15.9,1.55,50.6,1.3576158940397351
New York,135716524.0,17.4,1.3,1.6,13.4,18.5,84.4,103.0,15.3,17.4,10.5,4.5,13.1,1.4500000000000002,54.825,1.1372549019607843
North Carolina,66669069.0,16.0,1.5,1.7,15.3,22.2,69.9,92.8,13.9,20.9,6.0,11.8,5.8,1.6,50.05,1.503597122302158
North Dakota,4754903.0,19.5,0.0,0.0,14.3,19.0,90.1,118.0,15.9,0.0,0.0,25.3,0.0,0.0,60.349999999999994,0.0
Ohio,80741243.0,20.2,1.4,1.8,15.3,22.5,90.4,117.4,17.0,21.4,8.3,0.0,9.7,1.6,61.4,1.2588235294117647
Oklahoma,26229144.0,19.3,1.8,2.3,18.7,27.0,79.8,111.0,17.1,23.2,11.4,22.5,13.2,2.05,59.125,1.3567251461988303
Oregon,26832116.0,17.7,1.4,1.3,13.8,19.8,82.7,97.5,15.3,23.8,12.7,14.2,10.9,1.35,53.45,1.5555555555555556
Pennsylvania,88825682.0,21.6,1.4,1.7,14.3,20.9,95.1,115.5,16.6,22.1,9.9,0.0,10.2,1.5499999999999998,61.45,1.3313253012048192
Rhode Island,7371636.0,18.7,0.0,1.7,12.5,16.3,92.7,104.6,15.2,9.3,18.0,0.0,7.6,0.85,56.525,0.611842105263158
South Carolina,32366134.0,17.8,1.6,1.9,17.1,26.8,73.4,93.6,14.8,21.4,6.8,0.0,6.3,1.75,52.725,1.4459459459459458
South Dakota,5714307.0,19.6,0.0,0.0,13.9,20.2,95.6,110.4,15.9,0.0,0.0,25.7,0.0,0.0,60.025,0.0
Tennessee,44430836.0,19.5,1.9,2.2,18.4,26.9,82.7,107.4,16.9,26.0,9.1,0.0,3.3,2.05,58.85,1.5384615384615385
Texas,176270421.0,13.8,1.3,1.6,14.8,23.0,71.6,98.8,14.9,23.7,9.6,4.8,13.3,1.4500000000000002,52.05,1.5906040268456374
Utah,19321462.0,9.0,0.9,1.6,10.1,14.9,59.7,72.4,11.6,17.8,12.9,16.5,14.1,1.25,39.275000000000006,1.5344827586206897
Vermont,4377262.0,18.4,0.0,0.0,12.9,16.3,88.3,94.3,15.2,0.0,0.0,0.0,0.0,0.0,52.95,0.0
Virginia,56054333.0,15.6,1.6,1.8,14.0,20.4,77.3,93.2,14.3,21.5,9.1,0.0,8.7,1.7000000000000002,51.224999999999994,1.5034965034965033
Washington,47114240.0,14.9,1.2,1.4,12.6,18.2,77.2,89.1,14.3,17.3,10.7,17.8,9.0,1.2999999999999998,49.275,1.2097902097902098
West Virginia,12940212.0,24.4,2.0,2.1,17.5,26.1,93.9,124.6,19.1,25.7,0.0,0.0,0.0,2.05,65.525,1.345549738219895
Wisconsin,39788899.0,17.0,0.8,1.4,12.0,16.6,84.3,100.4,14.4,21.4,10.9,18.0,6.7,1.1,53.325,1.486111111111111
Wyoming,3931624.0,16.1,0.0,0.0,13.5,21.0,73.8,101.7,15.2,0.0,0.0,0.0,17.8,0.0,52.5,0.0
