year,state,metric,cancer_type,value
2015,Alabama,cases,all_sites,26150.0
2015,Alabama,cases,colon_rectum,2150.0
2015,Alabama,cases,female_breast,3680.0
2015,Alabama,cases,hodgkin_lymphoma,1020.0
2015,Alabama,cases,leukemia,730.0
2015,Alabama,cases,lung_bronchus,4150.0
2015,Alabama,cases,melanoma_skin,1380.0
2015,Alabama,cases,prostate,3590.0
2015,Alabama,cases,urinary_bladder,1000.0
2015,Alabama,cases,uterine_cervix,230.0
2015,Alabama,cases,uterine_corpus,660.0
2015,Alaska,cases,all_sites,3700.0
2015,Alaska,cases,colon_rectum,290.0
2015,Alaska,cases,female_breast,470.0
2015,Alaska,cases,hodgkin_lymphoma,140.0
2015,Alaska,cases,leukemia,110.0
2015,Alaska,cases,lung_bronchus,420.0
2015,Alaska,cases,melanoma_skin,100.0
2015,Alaska,cases,prostate,490.0
2015,Alaska,cases,urinary_bladder,180.0
2015,Alaska,cases,uterine_cervix,
2015,Alaska,cases,uterine_corpus,100.0
2015,Arizona,cases,all_sites,32440.0
2015,Arizona,cases,colon_rectum,2440.0
2015,Arizona,cases,female_breast,4750.0
2015,Arizona,cases,hodgkin_lymphoma,1300.0
2015,Arizona,cases,leukemia,950.0
2015,Arizona,cases,lung_bronchus,3740.0
2015,Arizona,cases,melanoma_skin,1400.0
2015,Arizona,cases,prostate,4090.0
2015,Arizona,cases,urinary_bladder,1580.0
2015,Arizona,cases,uterine_cervix,200.0
2015,Arizona,cases,uterine_corpus,940.0
2015,Arkansas,cases,all_sites,15830.0
2015,Arkansas,cases,colon_rectum,1420.0
2015,Arkansas,cases,female_breast,2090.0
2015,Arkansas,cases,hodgkin_lymphoma,670.0
2015,Arkansas,cases,leukemia,480.0
2015,Arkansas,cases,lung_bronchus,2620.0
2015,Arkansas,cases,melanoma_skin,360.0
2015,Arkansas,cases,prostate,2050.0
2015,Arkansas,cases,urinary_bladder,630.0
2015,Arkansas,cases,uterine_cervix,150.0
2015,Arkansas,cases,uterine_corpus,420.0
2015,California,cases,all_sites,172090.0
2015,California,cases,colon_rectum,14510.0
2015,California,cases,female_breast,25270.0
2015,California,cases,hodgkin_lymphoma,7870.0
2015,California,cases,leukemia,5970.0
2015,California,cases,lung_bronchus,18430.0
2015,California,cases,melanoma_skin,8560.0
2015,California,cases,prostate,21060.0
2015,California,cases,urinary_bladder,7150.0
2015,California,cases,uterine_cervix,1490.0
2015,California,cases,uterine_corpus,5800.0
2015,Colorado,cases,all_sites,24540.0
2015,Colorado,cases,colon_rectum,1800.0
2015,Colorado,cases,female_breast,3640.0
2015,Colorado,cases,hodgkin_lymphoma,1090.0
2015,Colorado,cases,leukemia,870.0
2015,Colorado,cases,lung_bronchus,2560.0
2015,Colorado,cases,melanoma_skin,1400.0
2015,Colorado,cases,prostate,3600.0
2015,Colorado,cases,urinary_bladder,1080.0
2015,Colorado,cases,uterine_cervix,170.0
2015,Colorado,cases,uterine_corpus,740.0
2015,Connecticut,cases,all_sites,21970.0
2015,Connecticut,cases,colon_rectum,1580.0
2015,Connecticut,cases,female_breast,3190.0
2015,Connecticut,cases,hodgkin_lymphoma,920.0
2015,Connecticut,cases,leukemia,660.0
2015,Connecticut,cases,lung_bronchus,2870.0
2015,Connecticut,cases,melanoma_skin,780.0
2015,Connecticut,cases,prostate,3170.0
2015,Connecticut,cases,urinary_bladder,1140.0
2015,Connecticut,cases,uterine_cervix,130.0
2015,Connecticut,cases,uterine_corpus,810.0
2015,Delaware,cases,all_sites,5280.0
2015,Delaware,cases,colon_rectum,400.0
2015,Delaware,cases,female_breast,780.0
2015,Delaware,cases,hodgkin_lymphoma,220.0
2015,Delaware,cases,leukemia,160.0
2015,Delaware,cases,lung_bronchus,860.0
2015,Delaware,cases,melanoma_skin,280.0
2015,Delaware,cases,prostate,740.0
2015,Delaware,cases,urinary_bladder,250.0
2015,Delaware,cases,uterine_cervix,
2015,Delaware,cases,uterine_corpus,180.0
2015,District of Columbia,cases,all_sites,2800.0
2015,District of Columbia,cases,colon_rectum,230.0
2015,District of Columbia,cases,female_breast,430.0
2015,District of Columbia,cases,hodgkin_lymphoma,100.0
2015,District of Columbia,cases,leukemia,70.0
2015,District of Columbia,cases,lung_bronchus,310.0
2015,District of Columbia,cases,melanoma_skin,80.0
2015,District of Columbia,cases,prostate,490.0
