state,obesity_pct_adults,source
West Virginia,41.0,CDC BRFSS 2022
Mississippi,40.1,CDC BRFSS 2022
Louisiana,39.9,CDC BRFSS 2022
Oklahoma,39.4,CDC BRFSS 2022
Alabama,39.2,CDC BRFSS 2022
Kentucky,38.7,CDC BRFSS 2022
Arkansas,38.4,CDC BRFSS 2022
South Dakota,38.4,CDC BRFSS 2022
Tennessee,38.3,CDC BRFSS 2022
Indiana,37.7,CDC BRFSS 2022
Iowa,37.4,CDC BRFSS 2022
Ohio,37.2,CDC BRFSS 2022
North Dakota,36.9,CDC BRFSS 2022
Missouri,36.8,CDC BRFSS 2022
Texas,36.0,CDC BRFSS 2022
Kansas,35.7,CDC BRFSS 2022
Michigan,35.5,CDC BRFSS 2022
Nebraska,35.5,CDC BRFSS 2022
North Carolina,35.0,CDC BRFSS 2022
South Carolina,35.0,CDC BRFSS 2022
Wisconsin,34.7,CDC BRFSS 2022
Georgia,34.4,CDC BRFSS 2022
Maine,34.0,CDC BRFSS 2022
Pennsylvania,33.9,CDC BRFSS 2022
Delaware,33.7,CDC BRFSS 2022
Virginia,33.5,CDC BRFSS 2022
New Mexico,33.4,CDC BRFSS 2022
Wyoming,33.0,CDC BRFSS 2022
Minnesota,32.9,CDC BRFSS 2022
Illinois,32.6,CDC BRFSS 2022
Idaho,32.5,CDC BRFSS 2022
Maryland,32.3,CDC BRFSS 2022
Florida,32.0,CDC BRFSS 2022
New York,31.9,CDC BRFSS 2022
New Hampshire,31.6,CDC BRFSS 2022
Oregon,31.1,CDC BRFSS 2022
Nevada,30.9,CDC BRFSS 2022
Arizona,30.7,CDC BRFSS 2022
Alaska,30.5,CDC BRFSS 2022
Connecticut,30.0,CDC BRFSS 2022
Washington,29.8,CDC BRFSS 2022
Vermont,29.6,CDC BRFSS 2022
Rhode Island,29.4,CDC BRFSS 2022
Montana,29.3,CDC BRFSS 2022
California,28.7,CDC BRFSS 2022
New Jersey,28.4,CDC BRFSS 2022
Utah,28.2,CDC BRFSS 2022
Massachusetts,27.2,CDC BRFSS 2022
Hawaii,25.9,CDC BRFSS 2022
Colorado,25.0,CDC BRFSS 2022
District of Columbia,24.3,CDC BRFSS 2022
