year,red_meat_lbs_per_capita,processed_meat_lbs_per_capita,sugar_added_lbs_per_capita,ultraprocessed_pct_calories,source
1970,131.7,15.5,119.1,53.5,USDA ERS / NHANES estimates
1975,128.3,15.8,118.1,54.0,USDA ERS / NHANES estimates
1980,126.4,16.0,120.1,55.5,USDA ERS / NHANES estimates
1985,124.1,16.5,127.4,56.5,USDA ERS / NHANES estimates
1990,112.3,17.0,132.5,57.5,USDA ERS / NHANES estimates
1995,114.7,17.6,144.9,58.0,USDA ERS / NHANES estimates
2000,113.5,18.0,151.8,57.9,USDA ERS / NHANES estimates
2005,108.0,17.8,142.3,58.0,USDA ERS / NHANES estimates
2010,106.0,17.5,134.9,57.6,USDA ERS / NHANES estimates
2015,109.7,17.4,128.6,57.0,USDA ERS / NHANES estimates
2020,113.5,17.4,127.5,57.0,USDA ERS / NHANES estimates
2023,116.0,17.4,127.0,57.0,USDA ERS / NHANES estimates
